,Component 5,Component 6,Component 7,Component 9,Base Action,Action
146,0.002106918037611301,-0.09173036205117571,0.12071943609837703,-0.013341119255739161,3,Turn right 1
147,-0.06316012861834622,0.10104324014144252,-0.08277553730674794,0.0373266480455025,4,Turn right 1
148,-0.16574297891196335,0.08952419431291414,0.15819241565692282,-0.001485708595844106,2,Turn right 1
149,-0.23912738677381665,0.09239612264258192,0.10861326302396336,0.0706275856490017,2,Turn right 1
150,-0.03661472819490363,-0.10800897474933835,0.06496465703138918,-0.04435981833449668,0,Turn right 1
151,-0.12914584916451394,0.17736507700555615,0.08343145286987422,0.05475056632731133,2,Turn right 1
152,-0.22020201988011281,0.12485881833424235,0.03839454889127589,0.015480647224833242,2,Turn right 1
153,0.15887625437442954,-0.12482203492133974,0.117375973565178,0.03747814026094251,3,Turn right 1
154,0.07370015799730469,-0.1309150886002454,-0.015219136190741918,-0.00121407403931698,3,Turn right 1
155,-0.012531824134422614,-0.027686144418469946,0.20285001381075307,-0.0005944712522429759,3,Turn right 1
156,-0.1474447510962564,0.026192693515469077,0.12605593593286538,0.019092606623995517,2,Turn right 1
157,-0.08631462057515912,-0.08266268282535916,0.18592589217791886,0.02627679413324368,2,Turn right 1
158,-0.0753313330320312,0.11265935059323863,0.05860239318390318,-0.0003913561305058681,2,Turn right 1
159,0.16508200314346488,-0.13188108632076895,0.06695133325566736,0.052960106766870865,3,Turn right 1
160,0.11386758908028936,-0.02745410884051899,0.026465218189860005,-0.00522476710715607,3,Turn right 1
161,0.08207212406869913,-0.03291159091393596,0.05536986540764815,0.018242052687867622,3,Turn right 1
162,0.06440903518499799,-0.02503690950706914,0.15317654312641624,-0.021266679156631822,3,Turn right 1
163,0.0707692152845026,0.08857579365884302,0.2904393469957613,0.020531535472589676,3,Turn right 1
164,-0.018646410372706014,0.018975875140794435,0.05711305886038052,-0.025933351718061534,2,Turn right 1
165,0.002704506683737151,0.08084813246741966,0.0891948793870861,-0.005153691170796785,4,Turn right 1
166,-0.023956279951585273,0.10114159158423913,0.10371922085012505,-0.005762485617342611,2,Turn right 1
167,0.07464034502929866,0.007741959654501458,0.014873913196728141,-0.014351155556081433,4,Turn right 1
