,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle
25380,0.6305729304631298,0.5567895173295696,0.4238207650249718,0.5083819716841675,0.6049204214880982,0.5735057236684442,0.6017006778158979,0.9387879856505136,0.1934257012849827
25392,0.6454289764816521,0.5632706442275636,0.4238207650249718,0.3963246780283458,0.4229564542759105,0.6478139701062663,0.4100613937340059,0.6557699523232338,0.1252884636983962
25404,0.5976520437998988,0.5499989153200748,0.4266277732975195,0.5343793386981547,0.5926196717753093,0.5861797563460442,0.5770728657121423,0.9700650134690364,0.1831129213894268
25416,0.5742957966338355,0.5604942681619034,0.4308518045728026,0.4260869304744916,0.577188557280933,0.7086293835771588,0.5189798395435975,0.8400876993320718,0.1620794031915897
25428,0.5753602349834621,0.5734565219578912,0.4627296757476835,0.4304793592168738,0.3887474071964037,0.6006549855171108,0.355212489134075,0.6135826603631116,0.1129357247556738
25440,0.6178302815665541,0.5808660741903876,0.4139693519616144,0.4797849428546181,0.5746415828087431,0.6435565095306932,0.5315675023874552,0.8794471215560822,0.1666253447333435
25452,0.6401220903829908,0.5583323923503214,0.412095759968839,0.6369343685551377,0.5344636533244888,0.5589979394574744,0.51414609367111,0.1983074459021298,0.170732179843186
25464,0.6040233682481867,0.5555560668524899,0.4331954076103383,0.3471093318236349,0.604483258765371,0.6064187322246747,0.5650333083588219,0.827081643544765,0.164117246733918
25476,0.5987164821495254,0.5898141020425408,0.4341289007018519,0.4649931179916218,0.5200521798398671,0.6099885701717046,0.4878625412988017,0.7697555223716708,0.1493955599060727
25488,0.6655920825266706,0.5092597026642014,0.3994372618211925,0.3743614110288864,0.5699832765498072,0.5594564457337579,0.5548309106399825,0.8073040599159294,0.1501851720869937
25500,0.5976520437998988,0.5999999797728686,0.4233506771684703,0.6239353106189613,0.3549746108172541,0.5742261749086545,0.2912215874484553,0.4373553653977683,0.1615433453997832
25512,0.7377895267962788,0.5722230714808116,0.4181933064251562,0.6691169312383272,0.338088516635136,0.5828394451089199,0.2919672121638222,0.411718850894131,0.1715019174128623
25524,0.6305729304631298,0.5725325465923125,0.3788076252244535,0.5564320942722819,0.4311081102197274,0.6308824768530931,0.4069746009336261,0.4944250869724775,0.1468062376550898
25536,0.5509548551172438,0.5848759007331273,0.4149094508628762,0.3048860761768683,0.7873206394006432,0.5430816710201054,0.7500934324532196,0.8703175120592277,0.4009001918456697
25548,0.5721822255840541,0.5746899724349709,0.4313218156175629,0.6506500839470227,0.4414440597398973,0.6204354551194579,0.4135714589277802,0.3630859208724388,0.158470797306773
25560,0.5923453316290724,0.5373460860677591,0.4060048961340112,0.487045873565749,0.2658852256328143,0.6307188809382855,0.2826515496883671,0.5386242322182377,0.1210603210874274
25572,0.6125233954678928,0.582408999778968,0.4125657710135992,0.4597941687896801,0.3291358010429279,0.684722494274143,0.3598841709857103,0.565412183193123,0.1284994938515496
25584,0.6645427758986808,0.5271602083374314,0.4364792631726183,0.4265354966353794,0.4618967694039599,0.6887178730999074,0.446219190818724,0.6795622679817028,0.139210935066778
25596,0.6815278725442911,0.6052477067616114,0.4074084002702851,0.4660688530335504,0.571657445613826,0.6115933421386965,0.5390885633113338,0.8615204329474484,0.1660841930285709
25608,0.8280213743394873,0.5429032376001742,0.4041245447080051,0.6127297684679706,0.3903486144708157,0.6742753357546258,0.393678248344822,0.4379572153869989,0.1544265087676124
25620,0.609330254346848,0.5416653877219997,0.3384952103654679,0.4428512482720093,0.6279204096318074,0.5347633111813157,0.6722133245510182,0.8834534625282044,0.2375716387182034
25632,0.544583530668956,0.5586418674618222,0.3375550346524648,0.3437024006901479,0.6101605980191482,0.6099557415600376,0.5680809169437875,0.8298366611193071,0.1555166339779416
25644,0.7675019666889932,0.5339508103469262,0.4106921790208239,0.3623489739891535,0.778440885598042,0.4854756646973148,0.8263446726454755,0.8585426911444003,0.549530078178203
25656,0.6252507387149968,0.5274696834489322,0.3497434449436097,0.5578661580420649,0.2744013865172084,0.6762732303463309,0.3214426799446307,0.4971602660865464,0.1352634865451526
25668,0.65180030092994,0.5629655685171576,0.3750604412389027,0.2998657296950798,0.7099498296494217,0.5983624541356938,0.6484771013245805,0.8606419559099385,0.1953439909683531
25680,0.7855513277563952,0.5512367651982494,0.3839649959677676,0.4672344510793296,0.5167041457192862,0.5505485387437804,0.4879937669869789,0.7626023681231393,0.1303144021537398
25692,0.6963839185628135,0.5777802230132266,0.3647456229405331,0.5571491261571734,0.1602009854097701,0.6867857725174183,0.2701052019236017,0.4982659407309044,0.1402801279134433
25704,0.6210082909659621,0.555865491396162,0.3483399408073359,0.1371586516355815,0.1896790684481908,0.5916490030497781,0.2654831218431402,0.6504089834772854,0.0450393206935816
25716,0.636928949261946,0.6425915931288232,0.348803346042348,0.3919322492859635,0.570929043747585,0.5890290062669821,0.543762849551909,0.8157292651411909,0.1436803844072707
25728,0.5456328372969458,0.550308339863747,0.3614617673782532,0.3534738790713557,0.5207802776986514,0.5768134798656653,0.4897144985977141,0.7590654540273408,0.113479938375344
25740,0.3651693161383637,0.5351842608240058,0.3985038455414202,0.2310175637241026,0.5608846373783856,0.6119536361517426,0.5186678455867269,0.7777612858612126,0.1150936510331694
25752,0.6549783103293481,0.5308649591697653,0.4439803137652093,0.3766922326912622,0.564669530214237,0.6017685593820343,0.531880976110769,0.8050126343763955,0.1416375582943363
25764,0.7144332796302155,0.5666659199483965,0.3445860742002956,0.2909007717734314,0.5976415709524523,0.5582773514313822,0.574130379735297,0.8045142277882039,0.1296851786422751
25776,0.5371479417988765,0.5753089226579725,0.4397563593016675,0.3246080100886199,0.5801003407011567,0.5649582474773948,0.5574244676895366,0.801853929137686,0.1377313064458792
25788,0.4978710363368293,0.5506178149752478,0.4566321292913663,0.3761541779557065,0.4252127976195,0.5881121305002971,0.3877056742176978,0.6686071867018076,0.1088610119166666
25800,0.6454289764816521,0.5512367651982494,0.4711709020532776,0.4946658818630997,0.5456000544781362,0.5874243710858721,0.5203859136178645,0.8495171641026336,0.1541591757614585
